Country,Year,target_crisis_next_3y,KMeans_Cluster,GMM_Cluster,GMM_Max_Probability
Algeria,1964,0,0,3,1.0
Algeria,1965,0,0,3,1.0
Algeria,1966,0,0,3,1.0
Algeria,1967,0,0,3,1.0
Algeria,1968,0,0,4,0.9939684112676771
Algeria,1969,0,0,4,0.9770579265096976
Algeria,1970,0,0,4,0.8463592816520182
Algeria,1971,0,0,3,0.9999393375187591
Algeria,1972,0,0,3,0.9999999985456167
Algeria,1973,0,0,3,0.9999999967832309
Algeria,1974,0,0,3,0.999999999980437
Algeria,1975,0,0,3,0.9999999999229203
Algeria,1976,0,0,3,0.9999999399098467
Algeria,1977,0,0,4,0.9972270061214212
Algeria,1978,0,0,4,0.9868562874024804
Algeria,1979,0,0,3,0.9197884334245788
Algeria,1980,0,0,3,0.6268288465878668
Algeria,1981,0,0,3,0.8843740305082199
Algeria,1982,0,0,3,0.8359031451513341
Algeria,1983,0,0,6,0.999871710431111
Algeria,1984,0,0,6,0.9995918375814299
Algeria,1985,0,0,6,0.9999551228698944
Algeria,1986,0,0,6,0.7199416205931181
Algeria,1987,0,0,3,0.9473213300171843
Algeria,1988,1,0,3,0.9928474935578304
Algeria,1989,1,0,6,0.9856161714297048
Algeria,1990,1,0,6,0.8174596880858608
Algeria,1991,1,0,3,0.9960305980248189
Algeria,1992,1,0,3,0.9791784400242713
Algeria,1993,1,0,4,0.9242741074795341
Algeria,1994,1,0,3,0.9122597290384166
Algeria,1995,1,0,3,0.9999878976789043
Algeria,1996,0,0,3,0.9936759578120412
Algeria,1997,0,0,3,0.9994962433858174
Algeria,1998,0,0,3,0.999637048793956
Algeria,1999,0,0,3,0.9729918742424433
Algeria,2000,0,0,3,0.9871110021315207
Algeria,2001,0,0,7,0.9993071381483026
Algeria,2002,0,0,7,0.9999996553546459
Algeria,2003,0,0,7,0.9999999994745119
Algeria,2004,0,0,7,0.9938534640745506
Algeria,2005,0,0,7,0.9999999999643467
Algeria,2006,0,0,7,1.0
Algeria,2007,0,0,7,1.0
Algeria,2008,0,0,7,0.9999999997174243
Algeria,2009,0,0,7,1.0
Algeria,2010,0,0,7,1.0
Algeria,2011,0,0,7,1.0
Algeria,2012,0,0,7,1.0
Algeria,2013,0,0,7,0.9999653427481419
Algeria,2014,0,0,7,1.0
Algeria,2015,0,0,1,0.9999968776542298
Algeria,2016,0,0,1,1.0
Angola,1984,1,0,3,0.906955390056378
Angola,1985,1,0,3,0.982758135075738
Angola,1986,1,0,3,0.9604818760182622
Angola,1987,1,0,3,0.9738159979348976
Angola,1988,1,0,3,0.5200785772904968
Angola,1989,1,0,3,0.5018572068678055
Angola,1990,1,0,3,0.8740871069162528
Angola,1991,1,0,3,0.9794717562277805
Angola,1992,1,0,3,0.9853848365090102
Angola,1993,1,0,3,0.9999999977563427
Angola,1994,1,0,3,0.9999995877234286
Angola,1995,1,0,7,1.0
Angola,1996,1,0,1,1.0
Angola,1997,1,0,1,1.0
Angola,1998,1,0,1,1.0
Angola,1999,1,0,1,1.0
Angola,2000,1,0,1,0.9999999999993214
Angola,2001,1,0,3,0.9999999999963975
Angola,2002,1,0,3,0.9999999999797673
Angola,2003,0,0,3,0.999999992800447
Angola,2004,0,0,3,0.9999788397663614
Angola,2005,0,0,3,0.9999996420492608
Angola,2006,0,0,3,0.996000408857254
Angola,2007,0,0,7,0.9931945409792883
Angola,2008,0,0,7,0.9999999999997637
Angola,2009,0,0,7,0.999998928288497
Angola,2010,0,0,7,0.9999565457080853
Angola,2011,0,0,7,0.999958077051326
Angola,2012,0,0,7,0.9999724022938431
Angola,2013,0,0,7,0.9999616513260362
Angola,2014,0,0,7,0.9998250278606875
Angola,2015,0,0,7,0.9999865239445883
Angola,2016,0,0,7,0.999985483195227
Argentina,1964,1,0,4,0.9861992721062006
Argentina,1965,0,0,4,0.971385692275723
Argentina,1966,0,0,4,0.9920318547845514
Argentina,1967,0,0,4,0.9975589057067619
Argentina,1968,0,0,4,0.9993460053874634
Argentina,1969,0,0,4,0.9998384960132181
Argentina,1970,0,0,4,0.9998659372416266
Argentina,1971,0,0,4,0.9954223390972702
Argentina,1972,0,0,4,0.9988068291912144
Argentina,1973,0,0,4,0.9985302996109322
Argentina,1974,0,0,4,0.9958100888398476
Argentina,1975,0,0,4,0.9693998356773413
Argentina,1976,0,0,4,0.9847831118177768
Argentina,1977,0,0,3,0.7720582979224584
Argentina,1978,0,0,3,0.7844425017616916
Argentina,1979,1,0,7,0.8974899296034903
Argentina,1980,1,0,6,0.8425575483290454
Argentina,1981,1,0,6,0.9928439445824934
Argentina,1982,1,0,6,0.6465177257663952
Argentina,1983,1,0,7,0.9945042870948604
Argentina,1984,1,0,6,0.7249607483811938
Argentina,1985,1,0,6,0.9919993166989449
Argentina,1986,1,0,3,0.8760193517980699
Argentina,1987,1,0,3,0.6722831603858961
Argentina,1988,1,0,3,0.8459946228872947
Argentina,1989,1,0,3,0.82877600604528
Argentina,1990,1,0,3,0.9999814067315672
Argentina,1991,1,0,3,0.999838741719383
Argentina,1992,1,0,3,0.995551084903301
Argentina,1993,0,0,7,0.9997282907743578
Argentina,1994,0,0,6,0.7690051994791911
Argentina,1995,0,0,6,0.9993325358442622
Argentina,1996,0,0,6,0.9997069905548056
Argentina,1997,0,0,6,0.9994884588237279
Argentina,1998,1,0,6,0.9989241733369452
Argentina,1999,1,0,6,0.9974394305938368
Argentina,2000,1,0,6,0.999420494772626
Argentina,2001,1,0,7,0.9857975293908822
Argentina,2002,1,0,7,0.9999837296307836
Argentina,2003,1,0,7,0.999999999771136
Argentina,2004,1,0,7,0.9999999838498842
Argentina,2005,1,0,7,0.9999999978242466
Argentina,2006,1,0,7,0.9999999979078336
Argentina,2007,1,0,7,0.9999961468094237
Argentina,2008,1,0,7,0.999804350693786
Argentina,2009,1,0,7,0.8867252931271828
Argentina,2010,1,0,7,0.797555981260072
Argentina,2011,1,0,7,0.998079002299943
Argentina,2012,1,0,7,0.9938194071695672
Argentina,2013,1,0,7,0.9998577571499029
Argentina,2014,1,0,7,0.9992553443445725
Argentina,2015,1,0,7,0.9933904229850196
Argentina,2016,0,0,7,0.9997051256043274
Australia,1964,0,0,3,0.9882203541235361
Australia,1965,0,0,3,0.9999032899940445
Australia,1966,0,0,4,0.9929183016169874
Australia,1967,0,0,4,0.9555530799976493
Australia,1968,0,0,4,0.9965000993257717
Australia,1969,0,0,4,0.6186340610850778
Australia,1970,0,0,3,0.9994236509679557
Australia,1971,0,0,4,0.9905447350285679
Australia,1972,0,0,6,0.9999612760273201
Australia,1973,0,0,6,0.999980792787142
Australia,1974,0,0,6,0.9999600229062301
Australia,1975,0,0,6,0.9999097615602286
Australia,1976,0,0,6,0.9987110932289199
Australia,1977,0,0,7,0.8074428428479472
Australia,1978,0,0,6,0.9995960013103334
Australia,1979,0,0,4,0.8591569899049415
Australia,1980,0,0,3,0.9997064672735873
Australia,1981,0,0,3,0.9996683648698486
Australia,1982,0,0,3,0.9936971125633965
Australia,1983,0,0,7,0.9067872860600404
Australia,1984,0,0,6,0.9999786193134376
Australia,1985,0,0,6,0.9997452105642641
Australia,1986,0,0,6,0.9993784494019187
Australia,1987,0,0,6,0.9993044176342046
Australia,1988,0,0,6,0.9999760164096375
Australia,1989,0,0,6,0.9999874237860574
Australia,1990,0,0,6,0.9999949497045101
Australia,1991,0,0,6,0.9999951505998996
Australia,1992,0,0,6,0.9997433059022005
Australia,1993,0,0,6,0.9127852031496334
Australia,1994,0,0,7,0.99758357909305
Australia,1995,0,0,7,0.7671555062793859
Australia,1996,0,0,6,0.9998320551071128
Australia,1997,0,0,6,0.99994235193262
Australia,1998,0,0,6,0.9999558464005549
Australia,1999,0,0,6,0.9999655107750628
Australia,2000,0,0,6,0.9999737202586072
Australia,2001,0,0,6,0.9999517301904757
Australia,2002,0,0,6,0.9999201112483164
Australia,2003,0,0,6,0.9998527898344667
Australia,2004,0,0,6,0.9995277978516867
Australia,2005,0,0,6,0.9990229681896142
Australia,2006,0,0,6,0.9947882316005792
Australia,2007,0,0,7,0.9999992463386513
Australia,2008,0,0,7,0.9999934841885963
Australia,2009,0,0,7,0.9998296450118129
Australia,2010,0,0,7,0.9987610200179059
Australia,2011,0,0,7,0.9990699308060432
Australia,2012,0,0,7,0.9985856715158999
Australia,2013,0,0,7,0.97229615286134
Australia,2014,0,0,6,0.9987471250106688
Australia,2015,0,0,6,0.9992816429917201
Australia,2016,0,0,6,0.9987986181091355
Austria,1964,0,0,4,0.9999399532362124
Austria,1965,0,0,4,0.9999390277017886
