feature,importance
domestic_credit_mean5,0.24934688449191147
gdp_growth_std5,0.11920162161486336
current_account_std5,0.11377671796525338
total_reserves_mean5,0.10935965980423704
gdp_growth_mean5,0.0770672399153497
total_reserves_std5,0.07397816611140615
total_reserves_trend5,0.061591441286725786
current_account_mean5,0.04747997742090456
domestic_credit_std5,0.04404742164881018
domestic_credit_trend5,0.038594826793777876
current_account_trend5,0.035510413531454114
gdp_growth_trend5,0.028330592692244905
inflation_std5,0.001014036385172283
inflation_mean5,0.0004811790185316334
inflation_trend5,0.00021982131935745528
