Country,Year,gdp_growth,inflation,domestic_credit,current_account,total_reserves,External_Debt_Crisis
Algeria,1960,4.024849115478151,45.64110137936549,4.628401988049822,2.9306658656883537,265802800.0,0
Algeria,1961,-13.60544132,45.67056658923201,4.618065541107043,2.9311695966720124,311729450.0,0
Algeria,1962,-19.68504183,45.58963884668886,4.6043598442055425,2.9296392755947562,185716410.0,0
Algeria,1963,34.31372878,45.62279110648192,4.649757360842209,2.9304049093621187,237218040.0,0
Algeria,1964,5.839413008,45.5955899804636,4.624736495257295,2.9298193540089708,194924560.0,0
Algeria,1965,6.206898211,45.58871957773663,4.624255413257928,2.929691816562873,184224560.0,0
Algeria,1966,-4.804970943,45.645765028179234,4.622101407741212,2.9307293278566124,273085970.0,0
Algeria,1967,9.452962563,45.75488809785794,4.645262840859566,2.9328091374128076,442988000.0,0
Algeria,1968,10.79623857,45.81211916638623,4.652672128896411,2.933883398831726,532109700.0,0
Algeria,1969,8.433280282,45.734106501955175,4.642161569039969,2.9324176217403597,410627600.0,0
Algeria,1970,8.86265711,45.696637292253385,4.638321585688034,2.9317178274560867,352276530.0,0
Algeria,1971,-11.33171917,45.815430694241684,4.635950052668335,2.9338857487784944,537318203.6,0
Algeria,1972,27.42396948,45.88153395117857,4.673242996745854,2.9352267532547702,640169273.5,0
Algeria,1973,3.813176296,46.45053052459719,4.7183559194269336,2.9458075949381874,1526311529.0,0
Algeria,1974,7.494917705,47.05955261725388,4.789004744304314,2.9572107197414157,2474721194.0,0
Algeria,1975,5.045341613,46.6877394369254,4.745717139852562,2.9502484711757386,1895709477.0,0
Algeria,1976,8.386756484,47.07721732660868,4.791660257713868,2.9575435822925202,2502228025.0,0
Algeria,1977,5.258585986,47.13401883801622,4.795568151913784,2.9585977643024304,2590691196.0,0
Algeria,1978,9.214835701,47.5443218233421,4.844304696391681,2.966284114430343,3229638828.0,0
Algeria,1979,7.477826551,49.01330102800611,5.006511218527093,2.9937601895164705,5517255565.0,0
Algeria,1980,0.790606972,8.975,2.398519327599319,0.526,7063796833.0,0
Algeria,1981,2.999996088,10.286,2.492359643988711,-0.435,5914588650.0,0
Algeria,1982,6.400004115,10.964,2.5316188658624172,-0.897,4972783276.0,0
Algeria,1983,5.400003025,11.823,2.5360253750161714,-0.165,4010232279.0,0
Algeria,1984,5.599996529,12.569,2.553216478737577,0.133,3185336009.0,0
Algeria,1985,3.699997255,13.88,2.6317045383744953,1.529,4644533024.0,0
Algeria,1986,0.400001003,15.824,2.915725689434393,-3.338,3842516472.0,0
Algeria,1987,-0.699997526,16.751,2.863916968542304,0.206,4343099115.0,0
Algeria,1988,-1.000005491,17.746,3.029519267602183,-3.389,3190542199.0,0
Algeria,1989,4.400002161,19.373,3.084768882753436,-1.811,3085702760.0,0
Algeria,1990,0.80000058,21.17,3.0556733634991433,2.01,2703474408.0,0
Algeria,1991,-1.200000586,26.652,3.3518024160127826,4.719,3459969141.0,1
Algeria,1992,1.800002303,35.101,7.066943015,2.415,3317517177.0,1
Algeria,1993,-2.100000757,42.297,6.467719977,1.464,3655668338.0,1
Algeria,1994,-0.899996553,54.563,6.51702224,-3.993,4813488033.0,1
Algeria,1995,3.799994791,70.823,5.133697325,-4.9,4164319964.0,1
Algeria,1996,4.099998472,84.067,5.36600668,2.449,6296459575.0,1
Algeria,1997,1.099999937,88.859,3.917921272,6.598,9666874795.0,0
Algeria,1998,5.100003611,93.258,4.554422657,-1.74,8452272525.0,0
Algeria,1999,3.200001553,95.682,5.353178588,0.038,6146079211.0,0
Algeria,2000,3.800000002,95.969,5.961758151,15.386,13556106802.0,0
Algeria,2001,2.999999999,100.0,8.014241442,11.883,19625060613.0,0
Algeria,2002,5.4,101.433,12.19974352,7.086,25151012703.0,0
Algeria,2003,6.500000001,105.755,11.22232165,11.987,35454600266.0,0
Algeria,2004,4.5,109.952,10.99786961,12.094,45691652467.0,0
Algeria,2005,5.4,111.472,11.92911928,19.789,59167068864.0,0
Algeria,2006,2.899999999,114.048,12.11707388,23.52,81462730475.0,0
Algeria,2007,3.100000001,118.244,12.99010252,21.476,114972000000.0,0
Algeria,2008,2.499999999,123.985,12.79580213,19.098,148099000000.0,0
Algeria,2009,1.2,131.103,16.26580177,0.273,155112000000.0,0
Algeria,2010,4.800000001,136.23,15.20827982,6.838,170461000000.0,0
Algeria,2011,2.999999999,142.36,13.71547056,9.07,191369000000.0,0
Algeria,2012,2.4,155.053,14.02533067,5.411,200587000000.0,0
Algeria,2013,2.600000001,160.1,16.49793668,0.363,201437000000.0,0
Algeria,2014,4.099999999,164.77,18.35198449,-3.949,186351000000.0,0
Algeria,2015,3.200000001,172.653,21.7117053,-14.555,150595000000.0,0
Algeria,2016,3.9,183.699,22.87582931,-14.645,120788000000.0,0
Angola,1980,4.334689637997842,60.754554634771864,10.5859655925247,1.051,11097369728.85909,0
Angola,1981,-4.400001219,60.75458738789638,10.586448782328677,-2.947,11097369728.85909,0
Angola,1982,0.0,60.75459192698512,10.58666172947761,-7.958,11097369728.85909,0
Angola,1983,4.200001429,60.75457472068231,10.586397781971467,-5.549,11097369728.85909,0
Angola,1984,6.000002165,60.75456127144674,10.58615288331016,-2.488,11097369728.85909,0
Angola,1985,3.49999949,60.754552862082406,10.585905421671397,2.306,11097369728.85909,1
Angola,1986,2.900001742,60.75457265641734,10.586319179113922,-3.827,11097369728.85909,1
Angola,1987,4.082748635,60.7545435904784,10.585719469496183,4.939,11097369728.85909,1
Angola,1988,6.128890478,60.75456781984769,10.58629828176372,-4.777,11097369728.85909,1
Angola,1989,0.041621462,60.75457145753903,10.58621879897476,-1.156,11097369728.85909,1
Angola,1990,-3.450098685,60.75458191167283,10.586354711019013,-1.873,11097369728.85909,1
Angola,1991,0.991359302,60.75457997926373,10.586428360214395,-4.756,11097369728.85909,1
Angola,1992,-5.838280733,60.75460540610731,10.586802200964144,-7.821,11097369728.85909,1
Angola,1993,-23.98341744,60.75465451243931,10.587395258326097,-9.804,11097369728.85909,1
Angola,1994,1.339363436,60.75458540143944,10.586555030487752,-6.843,11097369728.85909,1
Angola,1995,15.00000003,0.001,4.173604367,-4.761,228335521.2,1
Angola,1996,13.54436976,0.027,2.628192294,40.863,555691254.4,1
Angola,1997,7.274277355,0.088,4.285171286,-9.412,392514285.9,1
Angola,1998,4.691146451,0.183,2.918204315,-23.462,202442614.1,1
Angola,1999,2.181489718,0.637,2.13267907,-22.728,491400189.6,1
Angola,2000,3.054624234,2.707,1.668673846,7.125,1198212373.0,1
